detected_between,approx_date,ticker,company_name,change_type,from_snapshot,to_snapshot
2018-02-03 → 2019-07-16,2019-07-16,4751,"CYBERAGENT, INC.",ADDED,post-2017-review,post-2018-review
2018-02-03 → 2019-07-16,2019-07-16,5019,"IDEMITSU KOSAN CO., LTD.",ADDED,post-2017-review,post-2018-review
2018-02-03 → 2019-07-16,2019-07-16,6645,OMRON CORP.,ADDED,post-2017-review,post-2018-review
2018-02-03 → 2019-07-16,2019-07-16,5002,SHOWA SHELL SEKIYU K.K.,REMOVED,post-2017-review,post-2018-review
2018-02-03 → 2019-07-16,2019-07-16,5413,"NISSHIN STEEL CO., LTD.",REMOVED,post-2017-review,post-2018-review
2018-02-03 → 2019-07-16,2019-07-16,5715,"FURUKAWA CO., LTD.",REMOVED,post-2017-review,post-2018-review
2018-02-03 → 2019-07-16,2019-07-16,6773,PIONEER CORP.,REMOVED,post-2017-review,post-2018-review
2019-07-16 → 2019-10-14,2019-10-14,2413,"M3, INC.",ADDED,post-2018-review,post-2019-review
2019-07-16 → 2019-10-14,2019-10-14,7832,BANDAI NAMCO HOLDINGS INC.,ADDED,post-2018-review,post-2019-review
2019-07-16 → 2019-10-14,2019-10-14,6366,CHIYODA CORP.,REMOVED,post-2018-review,post-2019-review
2019-07-16 → 2019-10-14,2019-10-14,9681,TOKYO DOME CORP.,REMOVED,post-2018-review,post-2019-review
2020-03-17 → 2020-10-20,2020-10-20,8697,"JAPAN EXCHANGE GROUP, INC.",ADDED,covid-march-2020,post-2020-review
2020-03-17 → 2020-10-20,2020-10-20,9434,SOFTBANK CORP.,ADDED,covid-march-2020,post-2020-review
2020-03-17 → 2020-10-20,2020-10-20,4272,"NIPPON KAYAKU CO., LTD.",REMOVED,covid-march-2020,post-2020-review
2020-03-17 → 2020-10-20,2020-10-20,8729,SONY FINANCIAL HOLDINGS INC.,REMOVED,covid-march-2020,post-2020-review
2020-10-20 → 2021-02-25,2021-02-25,3659,"NEXON CO., LTD.",ADDED,post-2020-review,mid-2021
2020-10-20 → 2021-02-25,2021-02-25,6753,SHARP CORP.,ADDED,post-2020-review,mid-2021
2020-10-20 → 2021-02-25,2021-02-25,8028,"FAMILYMART CO., LTD.",REMOVED,post-2020-review,mid-2021
2020-10-20 → 2021-02-25,2021-02-25,9437,"NTT DOCOMO, INC.",REMOVED,post-2020-review,mid-2021
2021-02-25 → 2021-10-22,2021-10-22,6861,KEYENCE CORP.,ADDED,mid-2021,post-2021-review
2021-02-25 → 2021-10-22,2021-10-22,6981,"MURATA MANUFACTURING CO., LTD.",ADDED,mid-2021,post-2021-review
2021-02-25 → 2021-10-22,2021-10-22,7974,"NINTENDO CO., LTD.",ADDED,mid-2021,post-2021-review
2021-02-25 → 2021-10-22,2021-10-22,3105,NISSHINBO HOLDINGS INC.,REMOVED,mid-2021,post-2021-review
2021-02-25 → 2021-10-22,2021-10-22,5901,"TOYO SEIKAN GROUP HOLDINGS, LTD.",REMOVED,mid-2021,post-2021-review
2021-02-25 → 2021-10-22,2021-10-22,9412,SKY PERFECT JSAT HOLDINGS INC.,REMOVED,mid-2021,post-2021-review
2021-10-22 → 2022-01-29,2022-01-29,9147,"NIPPON EXPRESS HOLDINGS, INC.",ADDED,post-2021-review,pre-tse-restructure
2021-10-22 → 2022-01-29,2022-01-29,9062,"NIPPON EXPRESS CO., LTD.",REMOVED,post-2021-review,pre-tse-restructure
2022-01-29 → 2022-09-06,2022-09-06,8591,ORIX CORP.,ADDED,pre-tse-restructure,pre-2022-review
2022-01-29 → 2022-09-06,2022-09-06,8303,"SHINSEI BANK, LTD.",REMOVED,pre-tse-restructure,pre-2022-review
2022-09-06 → 2023-03-28,2023-03-28,5831,"SHIZUOKA FINANCIAL GROUP, INC.",ADDED,pre-2022-review,mid-2023
2022-09-06 → 2023-03-28,2023-03-28,6273,SMC CORP.,ADDED,pre-2022-review,mid-2023
2022-09-06 → 2023-03-28,2023-03-28,6594,NIDEC CORP.,ADDED,pre-2022-review,mid-2023
2022-09-06 → 2023-03-28,2023-03-28,7741,HOYA CORP.,ADDED,pre-2022-review,mid-2023
2022-09-06 → 2023-03-28,2023-03-28,1333,MARUHA NICHIRO CORP.,REMOVED,pre-2022-review,mid-2023
2022-09-06 → 2023-03-28,2023-03-28,3103,"UNITIKA, LTD.",REMOVED,pre-2022-review,mid-2023
2022-09-06 → 2023-03-28,2023-03-28,6703,"OKI ELECTRIC IND. CO., LTD.",REMOVED,pre-2022-review,mid-2023
2022-09-06 → 2023-03-28,2023-03-28,8355,"THE SHIZUOKA BANK, LTD.",REMOVED,pre-2022-review,mid-2023
2023-03-28 → 2023-11-09,2023-11-09,4385,"MERCARI, INC.",ADDED,mid-2023,post-2023-review
2023-03-28 → 2023-11-09,2023-11-09,4661,"ORIENTAL LAND CO., LTD.",ADDED,mid-2023,post-2023-review
2023-03-28 → 2023-11-09,2023-11-09,6723,RENESAS ELECTRONICS CORP.,ADDED,mid-2023,post-2023-review
2023-03-28 → 2023-11-09,2023-11-09,6920,LASERTEC CORP.,ADDED,mid-2023,post-2023-review
2023-03-28 → 2023-11-09,2023-11-09,9201,"JAPAN AIRLINES CO., LTD.",ADDED,mid-2023,post-2023-review
2023-03-28 → 2023-11-09,2023-11-09,9843,"NITORI HOLDINGS CO., LTD.",ADDED,mid-2023,post-2023-review
2023-03-28 → 2023-11-09,2023-11-09,3101,"TOYOBO CO., LTD.",REMOVED,mid-2023,post-2023-review
2023-03-28 → 2023-11-09,2023-11-09,5202,"NIPPON SHEET GLASS CO., LTD.",REMOVED,mid-2023,post-2023-review
2023-03-28 → 2023-11-09,2023-11-09,5703,"NIPPON LIGHT METAL HOLDINGS CO., LTD.",REMOVED,mid-2023,post-2023-review
2023-03-28 → 2023-11-09,2023-11-09,5707,"TOHO ZINC CO., LTD.",REMOVED,mid-2023,post-2023-review
2023-03-28 → 2023-11-09,2023-11-09,7003,"MITSUI E&S HOLDINGS CO., LTD.",REMOVED,mid-2023,post-2023-review
2023-03-28 → 2023-11-09,2023-11-09,8628,"MATSUI SECURITIES CO., LTD.",REMOVED,mid-2023,post-2023-review
2023-11-09 → 2024-06-21,2024-06-21,3092,"ZOZO, INC.",ADDED,post-2023-review,pre-2024-review
2023-11-09 → 2024-06-21,2024-06-21,6146,DISCO CORP.,ADDED,post-2023-review,pre-2024-review
2023-11-09 → 2024-06-21,2024-06-21,6526,SOCIONEXT INC.,ADDED,post-2023-review,pre-2024-review
2023-11-09 → 2024-06-21,2024-06-21,2531,TAKARA HOLDINGS INC.,REMOVED,post-2023-review,pre-2024-review
2023-11-09 → 2024-06-21,2024-06-21,5232,"SUMITOMO OSAKA CEMENT CO., LTD.",REMOVED,post-2023-review,pre-2024-review
2023-11-09 → 2024-06-21,2024-06-21,5541,"PACIFIC METALS CO., LTD.",REMOVED,post-2023-review,pre-2024-review
2024-06-21 → 2024-11-13,2024-11-13,4307,"NOMURA RESEARCH INSTITUTE, LTD.",ADDED,pre-2024-review,post-2024-review
2024-06-21 → 2024-11-13,2024-11-13,7453,"RYOHIN KEIKAKU CO., LTD.",ADDED,pre-2024-review,post-2024-review
2024-06-21 → 2024-11-13,2024-11-13,3863,"NIPPON PAPER INDUSTRIES CO., LTD.",REMOVED,pre-2024-review,post-2024-review
2024-06-21 → 2024-11-13,2024-11-13,4631,DIC CORP.,REMOVED,pre-2024-review,post-2024-review
