feature,group,data_source,ticker_or_series,computed_in,formula_or_description,needs_fix,scope,research_tier
vix_zscore,Macro Regime,yfinance,^VIX,add_features.py,(vix - vix.rolling(252).mean()) / std,No,date-level,Tier 2
usdjpy_level,Macro Regime,yfinance,JPY=X,add_features.py,USD/JPY spot close,No,date-level,Tier 1
usdjpy_zscore,Macro Regime,yfinance,JPY=X,add_features.py,(usdjpy - rolling_mean(252)) / std,No,date-level,Tier 1
usdjpy_ret_1w,Macro Regime,yfinance,JPY=X,add_features.py,log(usdjpy).diff(5),No,date-level,Tier 1
usdjpy_trend,Macro Regime,yfinance,JPY=X,add_features.py,EMA(50)/EMA(200) - 1,No,date-level,Tier 1
usdjpy_vol_20d,Macro Regime,yfinance,JPY=X,add_features.py,"std(log_ret_usdjpy, 20D) × √252",No,date-level,Tier 2
us10y,Macro Regime,yfinance,^TNX,add_features.py,US 10Y Treasury yield (%),No,date-level,Tier 2
us10y_ret_1m,Macro Regime,yfinance,^TNX,add_features.py,us10y.diff(21) — yield change,No,date-level,Tier 2
us_curve_5_10,Macro Regime,yfinance,^TNX+^FVX,add_features.py,US 10Y minus US 5Y yield,No,date-level,Tier 2
spx_ret_1d,Macro Regime,yfinance,^GSPC,add_features.py,S&P 500 log return 1D (overnight signal),No,date-level,Tier 3
spx_ret_1m,Macro Regime,yfinance,^GSPC,add_features.py,S&P 500 log return 21D,No,date-level,Tier 3
spx_trend,Macro Regime,yfinance,^GSPC,add_features.py,SPX EMA(50)/EMA(200) - 1,No,date-level,Tier 3
nky_ret_1m,Macro Regime,yfinance,^N225,add_features.py,NKY 225 log return 21D,No,date-level,Tier 2
nky_ret_3m,Macro Regime,yfinance,^N225,add_features.py,NKY 225 log return 63D,No,date-level,Tier 2
nky_ret_12m,Macro Regime,yfinance,^N225,add_features.py,NKY 225 log return 252D,No,date-level,Tier 2
nky_trend,Macro Regime,yfinance,^N225,add_features.py,NKY 225 EMA(50)/EMA(200) - 1,No,date-level,Tier 2
nky_vol_20d,Macro Regime,yfinance,^N225,add_features.py,"std(log_ret_nky, 20D) × √252",No,date-level,Tier 2
risk_off_flag,Macro Regime,yfinance,^VIX+^N225,add_features.py,VIX > 3M MA AND NKY < EMA50,No,date-level,Tier 2
cs_rank_ret_1d,Cross-Sectional,Derived from ret_1d,—,add_features.py,"Percentile rank in universe [0,1]",No,date-level,—
cs_rank_ret_1w,Cross-Sectional,Derived from ret_1w,—,add_features.py,"Percentile rank in universe [0,1]",No,date-level,—
cs_rank_ret_1m,Cross-Sectional,Derived from ret_1m,—,add_features.py,"Percentile rank in universe [0,1]",No,date-level,—
cs_rank_ret_3m,Cross-Sectional,Derived from ret_3m,—,add_features.py,"Percentile rank in universe [0,1]",No,date-level,—
cs_rank_ret_12m,Cross-Sectional,Derived from ret_12m,—,add_features.py,"Percentile rank in universe [0,1]",No,date-level,—
cs_rank_reversal_1m,Cross-Sectional,Derived from reversal_1m,—,add_features.py,"Percentile rank in universe [0,1]",No,date-level,Tier 1
cs_rank_momentum_12_1,Cross-Sectional,Derived from momentum_12_1,—,add_features.py,"Percentile rank in universe [0,1]",No,date-level,Tier 2
cs_rank_vol_20d,Cross-Sectional,Derived from vol_20d,—,add_features.py,"Percentile rank in universe [0,1]",No,date-level,Tier 1
cs_rank_vol_60d,Cross-Sectional,Derived from vol_60d,—,add_features.py,"Percentile rank in universe [0,1]",No,date-level,Tier 1
cs_rank_amihud_60d,Cross-Sectional,Derived from amihud_60d,—,add_features.py,"Percentile rank in universe [0,1]",No,date-level,Tier 1
cs_rank_rsi_14,Cross-Sectional,Derived from rsi_14,—,add_features.py,"Percentile rank in universe [0,1]",No,date-level,—
cs_rank_bb_pos,Cross-Sectional,Derived from bb_pos,—,add_features.py,"Percentile rank in universe [0,1]",No,date-level,—
cs_rank_high_to_price,Cross-Sectional,Derived from high_to_price,—,add_features.py,"Percentile rank in universe [0,1]",No,date-level,Tier 2
cs_rank_log_yen_volume,Cross-Sectional,Derived from log_yen_volume,—,add_features.py,"Percentile rank in universe [0,1]",No,date-level,—
cs_rank_max_ret_1m,Cross-Sectional,Derived from max_ret_1m,—,add_features.py,"Percentile rank in universe [0,1]",No,date-level,Tier 2
cs_rank_skew_20d,Cross-Sectional,Derived from skew_20d,—,add_features.py,"Percentile rank in universe [0,1]",No,date-level,Tier 2
cs_rank_stoch_k,Cross-Sectional,Derived from stoch_k,—,add_features.py,"Percentile rank in universe [0,1]",No,date-level,—
cs_rank_obv_ret_1m,Cross-Sectional,Derived from obv_ret_1m,—,add_features.py,"Percentile rank in universe [0,1]",No,date-level,—
cs_z_vol_20d,Cross-Sectional,Derived from vol_20d,—,add_features.py,Z-score within universe on date,No,date-level,—
cs_z_ret_1m,Cross-Sectional,Derived from ret_1m,—,add_features.py,Z-score within universe on date,No,date-level,—
cs_z_ret_12m,Cross-Sectional,Derived from ret_12m,—,add_features.py,Z-score within universe on date,No,date-level,—
cs_z_amihud_60d,Cross-Sectional,Derived from amihud_60d,—,add_features.py,Z-score within universe on date,No,date-level,—
cs_decile_ret_1m,Cross-Sectional,Derived from ret_1m,—,add_features.py,Decile 1–10 within universe,No,date-level,—
cs_decile_momentum_12_1,Cross-Sectional,Derived from momentum_12_1,—,add_features.py,Decile 1–10 within universe,No,date-level,—
cs_decile_vol_20d,Cross-Sectional,Derived from vol_20d,—,add_features.py,Decile 1–10 within universe,No,date-level,—
score_reversal,Composite Score,Derived from cs_rank features,—,add_features.py,IC-weighted: reversal_1m(50%) + ret_1w(30%) + stoch_k(20%),No,stock-specific,Tier 1
score_momentum,Composite Score,Derived from cs_rank features,—,add_features.py,IC-weighted: momentum_12_1(60%) + obv_ret_1m(25%) + ret_3m(15%),No,stock-specific,Tier 2
score_low_vol,Composite Score,Derived from cs_rank features,—,add_features.py,IC-weighted: inv_vol_20d(50%) + inv_vol_60d(25%) + liq(15%) + inv_max_ret(10%),No,stock-specific,Tier 1
score_liquidity,Composite Score,Derived from cs_rank features,—,add_features.py,IC-weighted: inv_amihud(50%) + log_yen_vol(30%) + vol_ratio(20%),No,stock-specific,Tier 2
score_technical,Composite Score,Derived from cs_rank features,—,add_features.py,Equal-weight: bb_pos + stoch_k + rsi_14 + obv_ret_1m (25% each),No,stock-specific,Tier 2
